rep_key,month_key,team_key,tenure_months,is_ramp_month
9,202401,1,55,0
10,202401,1,20,0
11,202401,1,30,0
12,202401,1,6,0
13,202401,1,36,0
14,202401,1,66,0
15,202401,1,6,0
16,202401,1,19,0
17,202401,1,29,0
18,202401,2,33,0
19,202401,2,16,0
20,202401,2,61,0
21,202401,2,14,0
22,202401,2,69,0
23,202401,2,59,0
24,202401,2,15,0
25,202401,2,32,0
26,202401,2,17,0
27,202401,2,42,0
28,202401,2,31,0
29,202401,3,62,0
30,202401,3,48,0
31,202401,3,8,0
32,202401,3,67,0
33,202401,3,27,0
34,202401,3,45,0
35,202401,3,72,0
36,202401,4,34,0
37,202401,4,19,0
38,202401,4,56,0
39,202401,4,67,0
40,202401,4,23,0
41,202401,4,63,0
42,202401,4,66,0
43,202401,4,15,0
44,202401,4,7,0
45,202401,4,6,0
46,202401,5,53,0
47,202401,5,54,0
48,202401,5,28,0
49,202401,5,11,0
50,202401,5,55,0
51,202401,5,8,0
52,202401,5,70,0
53,202401,5,11,0
54,202401,5,8,0
55,202401,5,12,0
56,202401,6,20,0
57,202401,6,31,0
58,202401,6,69,0
59,202401,6,48,0
60,202401,6,43,0
61,202401,6,71,0
62,202401,6,11,0
63,202401,6,44,0
64,202401,6,62,0
65,202401,7,39,0
66,202401,7,58,0
67,202401,7,72,0
68,202401,7,22,0
69,202401,7,32,0
70,202401,7,33,0
71,202401,7,12,0
72,202401,7,63,0
73,202401,8,24,0
74,202401,8,35,0
75,202401,8,38,0
76,202401,8,38,0
77,202401,8,51,0
9,202402,1,56,0
10,202402,1,21,0
11,202402,1,31,0
12,202402,1,7,0
13,202402,1,37,0
14,202402,1,67,0
15,202402,1,7,0
16,202402,1,20,0
17,202402,1,30,0
18,202402,2,34,0
19,202402,2,17,0
20,202402,2,62,0
21,202402,2,15,0
22,202402,2,70,0
23,202402,2,60,0
24,202402,2,16,0
25,202402,2,33,0
26,202402,2,18,0
27,202402,2,43,0
28,202402,2,32,0
29,202402,3,63,0
30,202402,3,49,0
31,202402,3,9,0
32,202402,3,68,0
33,202402,3,28,0
34,202402,3,46,0
35,202402,3,73,0
36,202402,4,35,0
37,202402,4,20,0
38,202402,4,57,0
39,202402,4,68,0
40,202402,4,24,0
41,202402,4,64,0
42,202402,4,67,0
43,202402,4,16,0
44,202402,4,8,0
45,202402,4,7,0
46,202402,5,54,0
47,202402,5,55,0
48,202402,5,29,0
49,202402,5,12,0
50,202402,5,56,0
51,202402,5,9,0
52,202402,5,71,0
53,202402,5,12,0
54,202402,5,9,0
55,202402,5,13,0
56,202402,6,21,0
57,202402,6,32,0
58,202402,6,70,0
59,202402,6,49,0
60,202402,6,44,0
61,202402,6,72,0
62,202402,6,12,0
63,202402,6,45,0
64,202402,6,63,0
65,202402,7,40,0
66,202402,7,59,0
67,202402,7,73,0
68,202402,7,23,0
69,202402,7,33,0
70,202402,7,34,0
71,202402,7,13,0
72,202402,7,64,0
73,202402,8,25,0
74,202402,8,36,0
75,202402,8,39,0
76,202402,8,39,0
77,202402,8,52,0
9,202403,1,57,0
10,202403,1,22,0
11,202403,1,32,0
12,202403,1,8,0
13,202403,1,38,0
14,202403,1,68,0
15,202403,1,8,0
16,202403,1,21,0
17,202403,1,31,0
18,202403,2,35,0
19,202403,2,18,0
20,202403,2,63,0
21,202403,2,16,0
22,202403,2,71,0
23,202403,2,61,0
24,202403,2,17,0
25,202403,2,34,0
26,202403,2,19,0
27,202403,2,44,0
28,202403,2,33,0
29,202403,3,64,0
30,202403,3,50,0
31,202403,3,10,0
32,202403,3,69,0
33,202403,3,29,0
34,202403,3,47,0
35,202403,3,74,0
36,202403,4,36,0
37,202403,4,21,0
39,202403,4,69,0
40,202403,4,25,0
41,202403,4,65,0
42,202403,4,68,0
43,202403,4,17,0
44,202403,4,9,0
45,202403,4,8,0
46,202403,5,55,0
47,202403,5,56,0
48,202403,5,30,0
49,202403,5,13,0
50,202403,5,57,0
51,202403,5,10,0
52,202403,5,72,0
53,202403,5,13,0
54,202403,5,10,0
