customer_key,customer_code,customer_name,country_code,customer_segment,industry,city,owning_team_id,created_date
1,CUST-00001,Nile Energy Co.,EG,Enterprise,Manufacturing,Giza,T01,2023-09-03
2,CUST-00002,Alex Retail Trading,EG,Enterprise,Financial Services,Giza,T01,2021-10-24
3,CUST-00003,Lotus Real Estate Solutions,EG,Enterprise,Energy,Alexandria,T01,2023-11-18
4,CUST-00004,Nile Manufacturing Partners,EG,Enterprise,Education,Cairo,T01,2020-04-27
5,CUST-00005,Delta Education Co.,EG,Enterprise,Retail,Cairo,T01,2019-11-02
6,CUST-00006,Lotus Retail Services,EG,Enterprise,Financial Services,New Cairo,T01,2020-01-12
7,CUST-00007,Pyramid Logistics Co.,EG,Enterprise,Media,Alexandria,T01,2022-05-04
8,CUST-00008,Lotus Retail Solutions,EG,Enterprise,Education,New Cairo,T01,2023-08-17
9,CUST-00009,Nile Hospitality Trading,EG,Enterprise,Education,New Cairo,T01,2022-09-28
10,CUST-00010,Sinai Financial Services Enterprises,EG,Enterprise,Logistics,Giza,T01,2021-08-14
11,CUST-00011,Sinai Construction Co.,EG,Enterprise,Education,Alexandria,T01,2023-07-02
12,CUST-00012,Delta Logistics Group,EG,Enterprise,Healthcare,Giza,T01,2020-11-30
13,CUST-00013,Sinai Media Partners,EG,Enterprise,Real Estate,Giza,T01,2023-11-19
14,CUST-00014,Memphis Energy Co.,EG,Enterprise,Healthcare,Giza,T01,2022-08-30
15,CUST-00015,Nile Real Estate Co.,EG,Enterprise,Media,Alexandria,T01,2023-03-04
16,CUST-00016,Horus Media Trading,EG,Enterprise,Hospitality,Cairo,T01,2021-09-01
17,CUST-00017,Delta Media Partners,EG,Enterprise,Logistics,Giza,T01,2020-01-28
18,CUST-00018,Delta Government Services Solutions,EG,Enterprise,Real Estate,New Cairo,T01,2020-05-06
19,CUST-00019,Delta Financial Services Holding,EG,Enterprise,Healthcare,Giza,T01,2021-09-14
20,CUST-00020,Delta Manufacturing Group,EG,Enterprise,Education,Alexandria,T01,2022-03-09
21,CUST-00021,Memphis Retail Holding,EG,Enterprise,Government Services,Giza,T01,2021-10-21
22,CUST-00022,Delta Media Co.,EG,Enterprise,Construction,Cairo,T01,2021-05-11
23,CUST-00023,Delta Real Estate Solutions,EG,Enterprise,Healthcare,Giza,T01,2021-11-07
24,CUST-00024,Alex Hospitality Trading,EG,Enterprise,Real Estate,Alexandria,T01,2021-05-08
