line_id,document_no,doc_type,original_document_no,date_key,month_key,rep_key,team_key,customer_key,product_key,country_code,currency,fx_rate,quantity,unit_list_price_usd,discount_pct,gross_amount_usd,discount_amount_usd,net_amount_usd,cost_amount_usd,gross_margin_usd,commission_weight,days_since_original,is_month_end_window,net_amount_local
L0000043,INV-2024-000015,INV,,20240101,202401,13,1,42,1,EG,EGP,30.9,2,2400.0,0.1604,4800.0,769.92,4030.08,2640.0,1390.08,1.0,,0,124529.47
L0000044,INV-2024-000015,INV,,20240101,202401,13,1,42,18,EG,EGP,30.9,1,800.0,0.1588,800.0,127.04,672.96,440.0,232.96,1.0,,0,20794.46
L0000045,INV-2024-000015,INV,,20240101,202401,13,1,42,9,EG,EGP,30.9,1,6000.0,0.1796,6000.0,1077.6,4922.4,2100.0,2822.4,1.25,,0,152102.16
L0000046,INV-2024-000015,INV,,20240101,202401,13,1,42,13,EG,EGP,30.9,1,12000.0,0.1626,12000.0,1951.2,10048.8,5040.0,5008.8,1.25,,0,310507.92
L0000071,INV-2024-000026,INV,,20240101,202401,14,1,67,20,EG,EGP,30.9,2,1500.0,0.1261,3000.0,378.3,2621.7,1500.0,1121.7,1.0,,0,81010.53
L0000072,INV-2024-000026,INV,,20240101,202401,14,1,67,9,EG,EGP,30.9,2,6000.0,0.1601,12000.0,1921.2,10078.8,4200.0,5878.8,1.25,,0,311434.92
L0000073,INV-2024-000026,INV,,20240101,202401,14,1,67,8,EG,EGP,30.9,10,1500.0,0.1576,15000.0,2364.0,12636.0,10500.0,2136.0,1.0,,0,390452.4
L0000091,INV-2024-000033,INV,,20240101,202401,15,1,54,7,EG,EGP,30.9,6,1200.0,0.1207,7200.0,869.04,6330.96,2160.0,4170.96,1.0,,0,195626.66
L0000092,INV-2024-000033,INV,,20240101,202401,15,1,54,1,EG,EGP,30.9,2,2400.0,0.1173,4800.0,563.04,4236.96,2640.0,1596.96,1.0,,0,130922.06
L0000093,INV-2024-000033,INV,,20240101,202401,15,1,54,3,EG,EGP,30.9,2,3600.0,0.1001,7200.0,720.72,6479.28,3240.0,3239.28,1.0,,0,200209.75
L0000140,INV-2024-000057,INV,,20240101,202401,19,2,94,10,EG,EGP,30.9,1,3000.0,0.0424,3000.0,127.2,2872.8,900.0,1972.8,1.25,,0,88769.52
L0000141,INV-2024-000057,INV,,20240101,202401,19,2,94,1,EG,EGP,30.9,1,2400.0,0.0015,2400.0,3.6,2396.4,1320.0,1076.4,1.0,,0,74048.76
L0000206,INV-2024-000097,INV,,20240101,202401,23,2,136,5,EG,EGP,30.9,2,1800.0,0.0799,3600.0,287.64,3312.36,1440.0,1872.36,1.0,,0,102351.92
L0000261,INV-2024-000129,INV,,20240101,202401,26,2,246,1,EG,EGP,30.9,1,2400.0,0.1413,2400.0,339.12,2060.88,1320.0,740.88,1.0,,0,63681.19
L0000262,INV-2024-000129,INV,,20240101,202401,26,2,246,1,EG,EGP,30.9,1,2400.0,0.0914,2400.0,219.36,2180.64,1320.0,860.64,1.0,,0,67381.78
L0000271,INV-2024-000134,INV,,20240101,202401,27,2,266,8,EG,EGP,30.9,1,1500.0,0.0176,1500.0,26.4,1473.6,1050.0,423.6,1.0,,0,45534.24
L0000312,INV-2024-000158,INV,,20240101,202401,32,3,367,15,EG,EGP,30.9,2,1100.0,0.2124,2200.0,467.28,1732.72,1716.0,16.72,1.0,,0,53541.05
L0000560,INV-2024-000275,INV,,20240101,202401,51,5,622,3,SA,SAR,3.75,1,3600.0,0.0308,3600.0,110.88,3489.12,1620.0,1869.12,1.0,,0,13084.2
L0000561,INV-2024-000275,INV,,20240101,202401,51,5,622,7,SA,SAR,3.75,1,1200.0,0.0249,1200.0,29.88,1170.12,360.0,810.12,1.0,,0,4387.95
L0000748,INV-2024-000353,INV,,20240101,202401,65,7,785,7,AE,AED,3.6725,3,1200.0,0.1585,3600.0,570.6,3029.4,1080.0,1949.4,1.0,,0,11125.47
L0000863,INV-2024-000412,INV,,20240101,202401,74,8,934,5,OM,OMR,0.3845,2,1800.0,0.0044,3600.0,15.84,3584.16,1440.0,2144.16,1.0,,0,1378.11
L0000904,INV-2024-000435,INV,,20240101,202401,77,8,845,1,OM,OMR,0.3845,1,2400.0,0.0407,2400.0,97.69,2302.31,1320.0,982.31,1.0,,0,885.24
L0000039,INV-2024-000014,INV,,20240102,202401,13,1,69,1,EG,EGP,30.9,1,2400.0,0.185,2400.0,444.0,1956.0,1320.0,636.0,1.0,,0,60440.4
L0000040,INV-2024-000014,INV,,20240102,202401,13,1,69,17,EG,EGP,30.9,8,450.0,0.1373,3600.0,494.28,3105.72,2700.0,405.72,1.0,,0,95966.75
L0000041,INV-2024-000014,INV,,20240102,202401,13,1,69,1,EG,EGP,30.9,1,2400.0,0.1046,2400.0,251.04,2148.96,1320.0,828.96,1.0,,0,66402.86
L0000042,INV-2024-000014,INV,,20240102,202401,13,1,69,5,EG,EGP,30.9,1,1800.0,0.1428,1800.0,257.04,1542.96,720.0,822.96,1.0,,0,47677.46
L0000064,INV-2024-000023,INV,,20240102,202401,14,1,62,17,EG,EGP,30.9,3,450.0,0.1148,1350.0,154.98,1195.02,1012.5,182.52,1.0,,0,36926.12
L0000065,INV-2024-000023,INV,,20240102,202401,14,1,62,10,EG,EGP,30.9,4,3000.0,0.1204,12000.0,1444.8,10555.2,3600.0,6955.2,1.25,,0,326155.68
L0000210,INV-2024-000099,INV,,20240102,202401,24,2,322,1,EG,EGP,30.9,1,2400.0,0.1401,2400.0,336.24,2063.76,1320.0,743.76,1.0,,0,63770.18
