fx_month,currency,rate_per_usd
2024-01,SAR,3.75
2024-01,AED,3.6725
2024-01,OMR,0.3845
2024-01,USD,1.0
2024-01,EGP,30.9
2024-02,SAR,3.75
2024-02,AED,3.6725
2024-02,OMR,0.3845
2024-02,USD,1.0
2024-02,EGP,30.9
2024-03,SAR,3.75
2024-03,AED,3.6725
2024-03,OMR,0.3845
2024-03,USD,1.0
2024-03,EGP,47.4133
2024-04,SAR,3.75
2024-04,AED,3.6725
2024-04,OMR,0.3845
2024-04,USD,1.0
2024-04,EGP,47.9404
2024-05,SAR,3.75
2024-05,AED,3.6725
2024-05,OMR,0.3845
2024-05,USD,1.0
2024-05,EGP,47.8847
2024-06,SAR,3.75
2024-06,AED,3.6725
2024-06,OMR,0.3845
2024-06,USD,1.0
2024-06,EGP,48.1167
2024-07,SAR,3.75
2024-07,AED,3.6725
2024-07,OMR,0.3845
2024-07,USD,1.0
2024-07,EGP,48.4477
2024-08,SAR,3.75
2024-08,AED,3.6725
2024-08,OMR,0.3845
2024-08,USD,1.0
2024-08,EGP,47.8216
2024-09,SAR,3.75
2024-09,AED,3.6725
2024-09,OMR,0.3845
2024-09,USD,1.0
2024-09,EGP,48.2369
2024-10,SAR,3.75
2024-10,AED,3.6725
2024-10,OMR,0.3845
2024-10,USD,1.0
2024-10,EGP,48.663
2024-11,SAR,3.75
2024-11,AED,3.6725
2024-11,OMR,0.3845
2024-11,USD,1.0
2024-11,EGP,48.3132
2024-12,SAR,3.75
2024-12,AED,3.6725
2024-12,OMR,0.3845
2024-12,USD,1.0
2024-12,EGP,47.7639
2025-01,SAR,3.75
2025-01,AED,3.6725
2025-01,OMR,0.3845
2025-01,USD,1.0
2025-01,EGP,49.6787
2025-02,SAR,3.75
2025-02,AED,3.6725
2025-02,OMR,0.3845
2025-02,USD,1.0
2025-02,EGP,49.1127
2025-03,SAR,3.75
2025-03,AED,3.6725
2025-03,OMR,0.3845
2025-03,USD,1.0
2025-03,EGP,48.9489
2025-04,SAR,3.75
2025-04,AED,3.6725
2025-04,OMR,0.3845
2025-04,USD,1.0
2025-04,EGP,49.133
2025-05,SAR,3.75
2025-05,AED,3.6725
2025-05,OMR,0.3845
2025-05,USD,1.0
2025-05,EGP,49.9305
2025-06,SAR,3.75
2025-06,AED,3.6725
2025-06,OMR,0.3845
2025-06,USD,1.0
2025-06,EGP,50.1071
2025-07,SAR,3.75
2025-07,AED,3.6725
2025-07,OMR,0.3845
2025-07,USD,1.0
2025-07,EGP,49.526
2025-08,SAR,3.75
2025-08,AED,3.6725
2025-08,OMR,0.3845
2025-08,USD,1.0
2025-08,EGP,49.8633
2025-09,SAR,3.75
2025-09,AED,3.6725
2025-09,OMR,0.3845
2025-09,USD,1.0
2025-09,EGP,50.0616
2025-10,SAR,3.75
2025-10,AED,3.6725
2025-10,OMR,0.3845
2025-10,USD,1.0
2025-10,EGP,49.5606
2025-11,SAR,3.75
2025-11,AED,3.6725
2025-11,OMR,0.3845
2025-11,USD,1.0
2025-11,EGP,50.1441
2025-12,SAR,3.75
2025-12,AED,3.6725
2025-12,OMR,0.3845
2025-12,USD,1.0
2025-12,EGP,50.4537
