line_id,document_no,doc_type,original_document_no,document_date,rep_code,customer_code,country,sku,quantity,unit_list_price_local,discount_pct,net_amount_local,currency,exported_at,country_code,dq_failed_rules
L0013724,INV-2024-006624,INV,,2024-12-17,REP-051,CUST-00718,UAE,CL-IAAS-S,1.0,6610.5,0.1502,5617.6,EUR?,2026-01-05 06:00:00,AE,DQ-S08
L0016811,INV-2025-008131,INV,,2025-03-30,,CUST-00186,Egypt,DV-RTR,2.0,53843.79,0.0025,107418.36,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0011327,INV-2024-005471,INV,,2024-11-29,,CUST-00016,Egypt,MS-HELP,1.0,231903.36,0.2061,184108.08,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0020495,INV-2025-009954,INV,,2025-06-30,REP-006,CUST-00013,Egypt,DV-OLD-01,2.0,481028.16,0.1317,835353.5,EGP,2026-01-05 06:00:00,EG,DQ-S06
L0029066,INV-2025-014088,INV,,2025-12-29,REP-011,CUST-00295,Egypt,CL-BKP,1.0,60544.44,0.0463,57741.23,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0028599,INV-2025-013850,INV,,2025-11-23,REP-049,CUST-00816,UAE,CL-BKP,1.0,4407.0,0.2203,3436.14,XXX,2026-01-05 06:00:00,AE,DQ-S08
L0028915,INV-2025-014024,INV,,2025-12-18,REP-002,CUST-00046,EGY,MS-HELP,-2.0,242177.76,0.1314,-420711.2,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0021796,INV-2025-010585,INV,,2025-06-29,REP-066,CUST-00911,Oman,DV-AP,-5.0,173.02,0.0404,-830.15,OMR,2026-01-05 06:00:00,OM,DQ-S10
L0013168,INV-2024-006354,INV,,2026-10-21,REP-025,CUST-00344,Egypt,DV-RTR,2.0,52540.29,0.1771,86470.81,EGP,2026-01-05 06:00:00,EG,DQ-S03
L0003201,INV-2024-001567,INV,,2024-03-27,,CUST-00894,Oman,CL-PROD,2.0,576.75,0.0532,1092.13,OMR,2026-01-05 06:00:00,OM,DQ-S04
L0016987,INV-2025-008227,INV,,2025-03-31,REP-024,CUST-00334,Egypt,DV-AP,1.0,22027.0,0.2406,16727.3,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0008820,INV-2024-004293,INV,,2024-08-31,,CUST-00960,Oman,CL-BKP,1.0,461.4,0.0458,440.27,OMR,2026-01-05 06:00:00,OM,DQ-S04
L0025788,INV-2025-012497,INV,,2025-09-14,REP-081,CUST-00825,Oman,CN-FIB-100,-1.0,922.8,0.024,-900.65,OMR,2026-01-05 06:00:00,OM,DQ-S10
