line_id,document_no,doc_type,original_document_no,document_date,rep_code,customer_code,country,sku,quantity,unit_list_price_local,discount_pct,net_amount_local,currency,exported_at
L0015584,INV-2025-007515,INV,,2025-02-24,REP-016,CUST-00082,Egypt,CN-FIB-100,1.0,117870.48,0.1305,102488.38,EGP,2026-01-05 06:00:00
L0004104,INV-2024-002020,INV,,2024-04-19,REP-053,CUST-00734,UAE,MS-COLO,2.0,35256.0,0.076,65153.09,AED,2026-01-05 06:00:00
L0004628,INV-2024-002269,INV,,2024-05-17,REP-015,CUST-00184,Egypt,DV-AP,5.0,21548.12,0.0671,100511.21,EGP,2026-01-05 06:00:00
L0029424,INV-2025-014292,INV,,2025-12-27,REP-025,CUST-00352,Egypt,MS-HELP,2.0,242177.76,0.1829,395766.9,EGP,2026-01-05 06:00:00
L0005600,INV-2024-002751,INV,,2024-06-11,REP-007,CUST-00048,Egypt,CN-FIB-100,1.0,115480.08,0.106,103239.19,EGP,2026-01-05 06:00:00
L0025554,INV-2025-012374,INV,,2025-09-05,REP-063,CUST-00784,UAE,CN-MPLS,1.0,33052.5,0.2073,26200.72,AED,2026-01-05 06:00:00
L0004066,INV-2024-002002,INV,,2024-04-02,REP-051,CUST-00724,UAE,MS-COLO,3.0,35256.0,0.1527,89617.23,AED,2026-01-05 06:00:00
L0030552,INV-2025-014801,INV,,2025-12-08,REP-067,CUST-00822,Oman,PS-IMPL,1.0,307.6,0.0542,290.93,OMR,2026-01-05 06:00:00
L0019182,INV-2025-009284,INV,,2025-05-19,REP-011,CUST-00273,Egypt,CL-PROD,5.0,74895.75,0.0172,368037.72,EGP,2026-01-05 06:00:00
L0001815,INV-2024-000899,INV,,2024-02-08,REP-051,CUST-00738,UAE,CY-EDR,2.0,11017.5,0.2009,17608.17,AED,2026-01-05 06:00:00
L0000027,INV-2024-000010,INV,,2024-01-10,REP-003,CUST-00005,Egypt,CL-PROD,1.0,46350.0,0.0661,43286.26,EGP,2026-01-05 06:00:00
L0023887,INV-2025-011617,INV,,2025-08-30,REP-076,CUST-00643,Saudi Arabia,DV-RTR,1.0,4125.0,0.0588,3882.45,SAR,2026-01-05 06:00:00
L0028190,INV-2025-013672,INV,,2025-11-12,REP-044,CUST-00566,Saudi Arabia,CN-FIB-100,2.0,9000.0,0.0331,17404.2,SAR,2026-01-05 06:00:00
L0012019,INV-2024-005792,INV,,2024-11-18,REP-042,CUST-00696,KSA,CY-FW,1.0,22500.0,0.0749,20814.75,SAR,2026-01-05 06:00:00
L0018710,INV-2025-009066,INV,,2025-04-17,REP-055,CUST-00724,UAE,DV-AP,1.0,1652.62,0.0863,1510.0,AED,2026-01-05 06:00:00
