year,country_code,amount_usd,step
2024,AE,20334720.0,1 Capacity plan
2024,AE,-589050.0,2 Vacant seats
2024,AE,-370719.5099999979,3 Ramp & other
2024,AE,898778.9399999976,4 Execution
2024,EG,17378160.0,1 Capacity plan
2024,EG,-257164.8,2 Vacant seats
2024,EG,-107252.64000000135,3 Ramp & other
2024,EG,439218.4900000021,4 Execution
2024,OM,2592000.0,1 Capacity plan
2024,OM,-88128.0,2 Vacant seats
2024,OM,-45014.39999999991,3 Ramp & other
2024,OM,159774.27000000002,4 Execution
2024,SA,21235200.0,1 Capacity plan
2024,SA,-695296.0,2 Vacant seats
2024,SA,-388682.55999999866,3 Ramp & other
2024,SA,-83322.04000000283,4 Execution
2025,AE,25092816.0,1 Capacity plan
2025,AE,-707883.995,2 Vacant seats
2025,AE,696497.3150000003,3 Ramp & other
2025,AE,-4368346.489999998,4 Execution
2025,EG,20536332.0,1 Capacity plan
2025,EG,-280855.53,2 Vacant seats
2025,EG,97702.88000000152,3 Ramp & other
2025,EG,-2274475.6500000022,4 Execution
2025,OM,4769280.0,1 Capacity plan
2025,OM,-190274.4,2 Vacant seats
2025,OM,-210022.19999999963,3 Ramp & other
2025,OM,281146.26999999955,4 Execution
2025,SA,26027904.0,1 Capacity plan
2025,SA,-526534.4,2 Vacant seats
2025,SA,-274457.33999999834,3 Ramp & other
2025,SA,-473269.1400000006,4 Execution
