group,driver,amount_usd
Company,headcount_effect,7425415.806938454
AE,headcount_effect,2620789.458872829
EG,headcount_effect,1289142.4950461793
OM,headcount_effect,1632100.5609828935
SA,headcount_effect,1303047.584801551
Company,deal_volume_effect,3569722.601190418
AE,deal_volume_effect,-1711445.2134796295
EG,deal_volume_effect,492153.75766439526
OM,deal_volume_effect,424868.9366803275
SA,deal_volume_effect,3025393.9471537657
Company,deal_size_effect,-2828955.818992054
AE,deal_size_effect,-185001.94218451684
EG,deal_size_effect,-882693.0098823403
OM,deal_size_effect,-12065.027490796801
SA,deal_size_effect,377084.86757816834
Company,discount_effect,185930.0440747146
AE,discount_effect,-151274.88639263064
EG,discount_effect,73164.75062691224
OM,discount_effect,-8679.466474489363
SA,discount_effect,59207.8310083055
Company,credit_note_effect,-541312.1132115356
AE,credit_note_effect,-115612.41681607235
EG,credit_note_effect,-330571.5434551445
OM,credit_note_effect,-4727.20369793345
SA,credit_note_effect,-84082.96054175444
