month_key,target_usd,actual_usd,achievement_pct,variance_usd,mom_growth_pct,yoy_growth_pct,actual_3m_moving_avg_usd,ytd_actual_usd,ytd_achievement_pct
202401,4512939.0,3958748.0,87.7,-554191.0,,,3958748.0,3958748.0,87.7
202402,4871923.0,5206334.0,106.9,334411.0,31.5,,4582541.0,9165083.0,97.7
202403,4815510.0,4742731.0,98.5,-72779.0,-8.9,,4635938.0,13907814.0,97.9
202404,4775550.0,4780281.0,100.1,4731.0,0.8,,4909782.0,18688094.0,98.5
202405,4775348.0,5027562.0,105.3,252214.0,5.2,,4850191.0,23715657.0,99.9
202406,4900569.0,5713657.0,116.6,813088.0,13.6,,5173833.0,29429314.0,102.7
202407,4644414.0,4241790.0,91.3,-402625.0,-25.8,,4994336.0,33671104.0,101.1
202408,4569905.0,3871091.0,84.7,-698814.0,-8.7,,4608846.0,37542194.0,99.1
202409,4951532.0,5031388.0,101.6,79856.0,30.0,,4381423.0,42573582.0,99.4
202410,5145059.0,5314034.0,103.3,168975.0,5.6,,4738837.0,47887616.0,99.8
202411,5328914.0,5853714.0,109.8,524800.0,10.2,,5399712.0,53741330.0,100.8
202412,5707109.0,6671892.0,116.9,964783.0,14.0,,5946546.0,60413222.0,102.4
202501,5155988.0,4833961.0,93.8,-322028.0,-27.5,22.1,5786522.0,4833961.0,93.8
202502,5584519.0,4939150.0,88.4,-645369.0,2.2,-5.1,5481667.0,9773111.0,91.0
202503,5830512.0,4717927.0,80.9,-1112584.0,-4.5,-0.5,4830346.0,14491038.0,87.4
202504,5884736.0,5424209.0,92.2,-460528.0,15.0,13.5,5027095.0,19915246.0,88.7
202505,6113478.0,5647400.0,92.4,-466077.0,4.1,12.3,5263179.0,25562646.0,89.5
202506,6518317.0,6421213.0,98.5,-97104.0,13.7,12.4,5830941.0,31983860.0,91.2
202507,6083910.0,5210981.0,85.7,-872929.0,-18.8,22.8,5759865.0,37194841.0,90.3
202508,5988902.0,4544239.0,75.9,-1444662.0,-12.8,17.4,5392144.0,41739080.0,88.5
202509,6447203.0,6089780.0,94.5,-357423.0,34.0,21.0,5281667.0,47828860.0,89.2
202510,6759033.0,6056117.0,89.6,-702916.0,-0.6,14.0,5563379.0,53884977.0,89.3
202511,7091061.0,6740842.0,95.1,-350219.0,11.3,15.2,6295580.0,60625819.0,89.9
202512,7572846.0,7569740.0,100.0,-3106.0,12.3,13.5,6788900.0,68195559.0,90.9
